t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000001,0.991674,0,0.001002,0,0.000110,0,0.000457,1.339942,0,1,0.100000,0.493788,0,0,0,1,1,1,stable,0.493788,-0.000000,0.100000,0.100000,0.100000,0.000457,1.339942
0.100000,0.000471,0.992522,0,0.001655,0,0.000025,2.932434,0.000765,1.342872,0,1,0.100000,0.469016,2.932434,0,0,1,1,1,stable,0.469099,0.000083,0.223947,0.223947,0.120927,0.000765,1.342872
0.200000,0.001224,0.992728,-0.000000,0.002585,0,0.000023,1.151242,0.001220,1.345525,0,1,0.100000,0.445372,1.151242,29.324339,0,1,1,1,stable,0.445651,0.000279,0.274028,0.274028,0.141753,0.001220,1.345525
0.300000,0.001892,0.992063,-0.000004,0.003854,0,0.000022,1.651999,0.001871,1.347639,0,1,0.100000,0.422750,1.651999,-17.811916,0,1,1,1,stable,0.423391,0.000641,0.372213,0.372213,0.162379,0.001871,1.347639
0.400000,0.001972,0.990669,-0.000015,0.005554,0,0.000022,2.352263,0.002787,1.348999,0.000053,0.993307,0.100000,0.401038,2.352263,5.007572,0,1,1,1,stable,0.402273,0.001234,0.598289,0.598289,0.182707,0.002787,1.348999
0.500000,0.001574,0.989045,-0.000038,0.007858,0,0.000049,1.181453,0.004080,1.349468,0.000381,0.993307,0.100000,0.380977,1.181453,7.002631,0,1,1,1,stable,0.382259,0.001283,0.669670,0.669670,0.202643,0.004080,1.349468
0.600000,0.001256,0.987842,-0.000091,0.010238,0,0.000043,0.991643,0.005564,1.348999,0.000504,0.993307,0.100000,0.362249,0.991643,-11.708092,0,1,1,1,stable,0.363250,0.001001,0.704645,0.704645,0.222096,0.005564,1.348999
0.700000,0.001044,0.987566,-0.000111,0.012382,0,0.000043,1.494960,0.007199,1.347639,0.000442,0.993307,0.100000,0.344559,1.494960,-1.898104,0,1,1,1,stable,0.345168,0.000609,0.814087,0.814087,0.240981,0.007199,1.347639
0.800000,-0.000284,0.988351,-0.000052,0.014379,3,0.000042,1.636261,0.009131,1.345526,0.000424,0.993307,0.100000,0.328792,1.636261,5.033173,0,1,1,1,stable,0.327959,-0.000832,0.938451,0.938451,0.259218,0.009131,1.345526
0.900000,-0.004251,0.989907,0.000094,0.016249,3,0.000043,1.251610,0.011228,1.342872,0.000625,0.993307,0.100000,0.316269,1.251610,1.413011,0,1,1,1,stable,0.311494,-0.004775,1,1,0.276734,0.011228,1.342872
1,-0.007834,0.991674,0.000245,0.017594,1,0.000043,28.942040,0.012988,1.339944,0.003601,0.993306,0.658463,0.296738,2.642348,-3.846517,0,3.428137,1,1,transitoire,0.295533,-0.001205,0.150359,0.150359,0.293459,0.012988,1.339944
1.100000,-0.012135,0.993071,0.000179,0.025309,0,0.000048,2.121030,0.018818,1.337025,0.002703,0.993307,0.642909,0.282240,11.408912,276.904303,0,6.235692,1,1,transitoire,0.280659,-0.001581,0.135189,0.135189,0.309334,0.018818,1.337025
1.200000,-0.007853,0.993711,0.000004,0.029961,3,0.000048,3.852651,0.023506,1.334404,0.002269,0.993307,0.599122,0.268885,11.408912,-268.210099,0,8.575636,1,1,transitoire,0.266498,-0.002387,0.313750,0.313750,0.324303,0.023506,1.334404
1.300000,-0.002847,0.993500,0.000028,0.035057,3,0.000047,2.131980,0.028926,1.332334,0.031225,0.993301,0.413632,0.253243,11.909042,17.316214,0,7.710461,1,1,transitoire,0.252980,-0.000263,0.411446,0.411446,0.338318,0.028926,1.332334
1.400000,-0.004144,0.992622,0.000226,0.043701,3,0.000048,2.455498,0.036846,1.331011,0.022338,0.993303,0.338752,0.241133,11.909042,-17.206716,0,7.002222,1,1,transitoire,0.240310,-0.000823,0.567646,0.567646,0.351335,0.036846,1.331011
1.500000,-0.019272,0.991442,0.000562,0.050642,3,0.000047,1.395002,0.043846,1.330558,0.030268,0.993301,0.374463,0.237266,11.909042,3.235185,0,6.413146,1,1,chronique,0.228228,-0.009038,0.644321,0.644321,0.363320,0.043846,1.330558
1.600000,-0.015274,0.990387,0.000664,0.052205,3,0.000046,1.516467,0.046419,1.330993,0.103790,0.993287,0.692814,0.218946,9.545656,-10.604967,0,9.974720,1,1,chronique,0.216085,-0.002861,0.599918,0.599918,0.374240,0.046419,1.330993
1.700000,0.008717,0.989817,-0.000346,0.064676,1,0.000046,2.200994,0.058533,1.332296,0.121784,0.993284,0.613101,0.183178,9.545656,1.214651,0,9.773387,1,1,transitoire,0.205049,0.021871,0.781408,0.781408,0.384069,0.058533,1.332296
1.800000,0.024562,0.989924,-0.000998,0.091915,1,0.000047,2.556304,0.084137,1.334312,0.265916,0.993256,0.704516,0.131898,9.545656,6.845276,0,7.998976,1,1,transitoire,0.196566,0.065054,0.983451,0.983451,0.392784,0.084137,1.334312
1.900000,0.000757,0.990647,-0.001531,0.134240,1,0.000046,1.631097,0.123517,1.336847,0.197926,0.993269,0.762856,0.140164,9.570857,3.553100,0,8.628387,1,1,chronique,0.192001,0.051837,0.978072,0.978072,0.400369,0.123517,1.336847
2,-0.009691,0.991674,-0.001690,0.126826,4,0.000048,45.775117,0.114563,1.339705,0.630796,0.993186,0.756013,0.184152,9.570857,-9.252072,0,10.194916,0.694183,1,transitoire,0.186594,0.002443,0.100000,0.100000,0.406809,0.114563,1.339705
2.100000,-0.016326,0.992522,-0.001350,0.094290,3,0.000050,5.036437,0.093002,1.342870,0.402043,0.993230,0.745909,0.178165,16.811709,441.440202,0,8.628387,0.694287,0.985437,transitoire,0.177462,-0.000702,0.223849,0.223849,0.412092,0.093002,1.342870
2.200000,-0.027587,0.992728,0.000084,0.101602,4,0.000060,3.195095,0.101249,1.345539,0.375721,0.993235,0.713112,0.172381,17.307736,-407.386801,0,7.027077,0.694483,0.972203,transitoire,0.168532,-0.003849,0.462447,0.462447,0.416209,0.101249,1.345539
2.300000,-0.039271,0.992063,0.000209,0.115499,2,0.000053,2.564737,0.112577,1.347673,0.353866,0.993240,0.755420,0.167180,17.360268,-18.413425,0,6.656942,0.694812,0.960128,transitoire,0.159794,-0.007385,0.348939,0.348939,0.419154,0.112577,1.347673
2.400000,-0.007538,0.990669,0.000445,0.120809,4,0.000047,2.627564,0.118218,1.348971,0.338212,0.993243,0.736788,0.139420,17.360268,-6.303580,0,9.356165,0.695256,0.949074,transitoire,0.151207,0.011787,0.471146,0.471146,0.420923,0.118218,1.348971
2.500000,-0.014832,0.989045,-0.000484,0.150186,1,0.000045,2.089151,0.144774,1.349499,0.709114,0.993171,0.726797,0.092163,17.360268,0.628279,0,9.238801,0.695249,0.938921,transitoire,0.144600,0.052437,0.606206,0.606206,0.421513,0.144774,1.349499
2.600000,-0.007849,0.987842,-0.000076,0.187406,4,0.000045,1.730143,0.179332,1.349224,0.573225,0.993197,0.770834,0.096207,14.955629,-5.384129,0,6.662785,0.695252,0.929549,chronique,0.141613,0.045405,0.715131,0.715131,0.420923,0.179332,1.349224
2.700000,-0.097241,0.987566,0.001048,0.188101,4,0.000045,1.149765,0.178278,1.347812,0.417120,0.993227,0.782790,0.195083,14.955629,-3.590089,0,5.210080,0.695104,0.920871,chronique,0.138205,-0.056878,0.826189,0.826189,0.419154,0.178278,1.347812
