event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,950,1050,S(t),0.729570,medium,10/100
fractal_pattern,1200,1300,S(t),0.821069,medium,10/100
fractal_pattern,1400,1500,S(t),0.697801,medium,10/100
fractal_pattern,200,300,A_mean(t),0.658253,medium,10/100
fractal_pattern,300,400,A_mean(t),0.700927,medium,10/100
fractal_pattern,400,500,A_mean(t),0.676004,medium,10/100
fractal_pattern,500,600,A_mean(t),0.656628,medium,10/100
fractal_pattern,600,700,A_mean(t),0.682438,medium,10/100
fractal_pattern,700,800,A_mean(t),0.666148,medium,10/100
fractal_pattern,800,900,A_mean(t),0.661232,medium,10/100
fractal_pattern,900,1000,A_mean(t),0.664025,medium,10/100
fractal_pattern,1000,1100,A_mean(t),0.664297,medium,10/100
fractal_pattern,1100,1200,A_mean(t),0.664944,medium,10/100
fractal_pattern,1200,1300,A_mean(t),0.663083,medium,10/100
fractal_pattern,1300,1400,A_mean(t),0.665969,medium,10/100
fractal_pattern,1400,1500,A_mean(t),0.663882,medium,10/100
fractal_pattern,1500,1600,A_mean(t),0.665223,medium,10/100
fractal_pattern,1600,1700,A_mean(t),0.664515,medium,10/100
fractal_pattern,1700,1800,A_mean(t),0.664751,medium,10/100
fractal_pattern,1800,1900,A_mean(t),0.665533,medium,10/100
fractal_pattern,450,550,entropy_S,0.790140,medium,10/100
fractal_pattern,900,1000,entropy_S,0.681923,medium,10/100
fractal_pattern,1700,1800,entropy_S,0.703597,medium,10/100
fractal_pattern,500,600,effort(t),0.701228,medium,10/100
fractal_pattern,700,800,effort(t),0.667995,medium,10/100
fractal_pattern,900,1000,effort(t),0.655074,medium,10/100
fractal_pattern,1100,1200,effort(t),0.670046,medium,10/100
fractal_pattern,1200,1300,effort(t),0.648133,medium,10/100
fractal_pattern,1500,1600,effort(t),0.655086,medium,10/100
fractal_pattern,1600,1700,effort(t),0.662196,medium,10/100
fractal_pattern,100,200,mean_high_effort,0.688096,medium,10/100
fractal_pattern,150,250,mean_high_effort,0.679129,medium,10/100
fractal_pattern,200,300,mean_high_effort,0.674428,medium,10/100
fractal_pattern,250,350,mean_high_effort,0.677366,medium,10/100
fractal_pattern,300,400,mean_high_effort,0.672774,medium,10/100
fractal_pattern,350,450,mean_high_effort,0.674118,medium,10/100
fractal_pattern,400,500,mean_high_effort,0.668615,medium,10/100
fractal_pattern,450,550,mean_high_effort,0.674194,medium,10/100
fractal_pattern,500,600,mean_high_effort,0.666691,medium,10/100
fractal_pattern,550,650,mean_high_effort,0.647683,medium,10/100
fractal_pattern,650,750,mean_high_effort,0.664180,medium,10/100
fractal_pattern,700,800,mean_high_effort,0.663285,medium,10/100
fractal_pattern,750,850,mean_high_effort,0.662111,medium,10/100
fractal_pattern,800,900,mean_high_effort,0.662381,medium,10/100
fractal_pattern,850,950,mean_high_effort,0.661885,medium,10/100
fractal_pattern,900,1000,mean_high_effort,0.661374,medium,10/100
fractal_pattern,950,1050,mean_high_effort,0.661036,medium,10/100
fractal_pattern,1000,1100,mean_high_effort,0.660765,medium,10/100
fractal_pattern,1050,1150,mean_high_effort,0.660509,medium,10/100
fractal_pattern,1100,1200,mean_high_effort,0.660412,medium,10/100
fractal_pattern,1150,1250,mean_high_effort,0.660101,medium,10/100
fractal_pattern,1200,1300,mean_high_effort,0.659927,medium,10/100
fractal_pattern,1250,1350,mean_high_effort,0.659060,medium,10/100
fractal_pattern,1300,1400,mean_high_effort,0.658623,medium,10/100
fractal_pattern,1350,1450,mean_high_effort,0.658918,medium,10/100
fractal_pattern,1400,1500,mean_high_effort,0.658587,medium,10/100
fractal_pattern,1450,1550,mean_high_effort,0.658296,medium,10/100
fractal_pattern,1500,1600,mean_high_effort,0.658635,medium,10/100
fractal_pattern,1550,1650,mean_high_effort,0.658453,medium,10/100
fractal_pattern,1600,1700,mean_high_effort,0.658228,medium,10/100
fractal_pattern,1650,1750,mean_high_effort,0.658385,medium,10/100
fractal_pattern,1700,1800,mean_high_effort,0.657889,medium,10/100
fractal_pattern,1750,1850,mean_high_effort,0.657772,medium,10/100
fractal_pattern,1800,1900,mean_high_effort,0.658123,medium,10/100
fractal_pattern,1850,1950,mean_high_effort,0.657758,medium,10/100
fractal_pattern,600,700,mean_abs_error,0.780267,medium,10/100
fractal_pattern,850,950,mean_abs_error,0.758101,medium,10/100
fractal_pattern,950,1050,mean_abs_error,0.754940,medium,10/100
