t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000011,0.926469,0,0.000990,0,0.000027,0,0.000451,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000,0.100000,0.000451,1.339942
0.100000,0.002115,0.928852,0,0.001637,0,0.000029,0.185403,0.000757,1.348769,0,0.100000,0.469099,0.185403,0,0,1,1,stable,0.469099,0.000000,0.000000,0.120927,0.000757,1.348769
0.200000,0.005539,0.926365,-0.000000,0.002539,0,0.000024,0.250611,0.001198,1.356829,0,0.100000,0.445644,0.250611,1.854031,0,1,1,stable,0.445644,0.000000,0.000000,0.141753,0.001198,1.356829
0.300000,0.008375,0.916137,-0.000000,0.003729,0,0.000024,0.330264,0.001811,1.363293,0,0.100000,0.423362,0.330264,0.652078,0,1,1,stable,0.423362,0.000000,0.000000,0.162379,0.001811,1.363293
0.400000,0.007637,0.899078,-0.000000,0.005231,0,0.000024,0.427381,0.002636,1.367475,0.001408,0.100000,0.402194,0.427381,0.796531,0,1,1,stable,0.402194,0.000000,0.000000,0.182707,0.002636,1.367475
0.500000,0.002753,0.880554,-0.000000,0.007060,0,0.000024,0.546018,0.003717,1.368921,0.011991,0.100000,0.382084,0.546018,0.971166,0,1,1,stable,0.382084,0.000000,0.000000,0.202643,0.003717,1.368921
0.600000,-0.001944,0.868472,-0.000000,0.009227,0,0.000023,0.701703,0.005110,1.367475,0.022337,0.100000,0.362980,0.701703,1.186372,0,1,1,stable,0.362980,-0.000000,0.000000,0.222096,0.005110,1.367475
0.700000,-0.004193,0.869010,-0.000000,0.011749,0,0.000024,0.898793,0.006877,1.363293,0.019599,0.100000,0.344831,0.898793,1.556854,0,1,1,stable,0.344831,-0.000000,0.000000,0.240981,0.006877,1.363293
0.800000,-0.012164,0.882722,0.000000,0.014648,0,0.000023,1.129892,0.009089,1.356829,0.025646,0.100000,0.327589,1.129892,1.970893,0,1,1,stable,0.327589,-0.000000,0.000000,0.259218,0.009089,1.356829
0.900000,-0.032688,0.904370,0.000000,0.017959,0,0.000023,1.186522,0.011824,1.348769,0.020228,0.100000,0.311210,1.186522,2.310996,0,1,1,stable,0.311210,-0.000000,0.000000,0.276734,0.011824,1.348769
1,-0.053156,0.926469,0.000000,0.021724,0,0.000024,1.134120,0.015164,1.339942,0.081874,0.634347,0.295649,1.158207,0.566296,0,6.718061,1,stable,0.295649,-0.000000,0.000000,0.293459,0.015164,1.339942
1.100000,-0.052539,0.943205,0.000000,0.025993,3,0.000025,1.081079,0.019187,1.331227,0.065232,0.649290,0.280867,1.150178,-0.524016,0,9.597156,1,stable,0.280867,-0.000000,0.000000,0.309334,0.019187,1.331227
1.200000,-0.030052,0.952136,0.000000,0.030815,3,0.000026,1.025714,0.023962,1.323459,0.277472,0.481547,0.266823,1.150178,-0.530416,0,8.068742,1,stable,0.266823,-0.000000,0.000000,0.324303,0.023962,1.323459
1.300000,-0.013841,0.953688,0.000000,0.036235,3,0.000024,0.967144,0.029539,1.317356,0.537045,0.322080,0.253482,1.150178,-0.553648,0,6.960270,1,stable,0.253482,-0.000000,0.000000,0.338318,0.029539,1.317356
1.400000,-0.036779,0.949772,0.000000,0.042286,3,0.000024,0.905260,0.035939,1.313467,0.418783,0.268267,0.240808,1.150178,-0.585701,0,6.639418,1,stable,0.240808,-0.000000,0.000000,0.351335,0.035939,1.313467
1.500000,-0.086999,0.942661,0.000000,0.048982,1,0.000024,0.840642,0.043150,1.312132,0.926105,0.407265,0.228768,1.150178,-0.618831,0,6.346843,1,stable,0.228768,-0.000000,0.000000,0.363320,0.043150,1.312132
