t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
0,-0.000002,0.926469,0,0.000870,0,0.000019,0,0.000396,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable
0.100000,-0.000001,0.928852,0,0.001185,0,0.000018,1.589053,0.000542,1.348769,0,0.100000,0.000000,1.589053,0,0,1,1,stable
0.200000,-0.000006,0.926365,-0.000000,0.001582,0,0.000018,1.572487,0.000726,1.356829,0,0.100000,0.000000,1.572487,15.890532,0,1,1,stable
0.300000,-0.000012,0.916137,-0.000000,0.002063,0,0.000018,1.553142,0.000951,1.363293,0,0.100000,0.000000,1.553142,-0.165666,0,1,1,stable
0.400000,-0.000011,0.899078,-0.000000,0.002631,0,0.000018,1.531704,0.001219,1.367475,0.000000,0.100000,0.000000,1.531704,-0.193446,0,1,1,stable
0.500000,-0.000004,0.880554,-0.000000,0.003280,0,0.000018,1.509106,0.001527,1.368921,0.000000,0.100000,0.000000,1.509106,-0.214384,0,1,1,stable
0.600000,-0.000000,0.868472,-0.000000,0.004002,0,0.000018,1.492234,0.001873,1.367475,0.000000,0.100000,0.000000,1.492234,-0.225977,0,1,1,stable
0.700000,-0.000010,0.869010,-0.000000,0.004786,0,0.000018,1.481589,0.002252,1.363293,0.000000,0.100000,0.000000,1.481589,-0.168718,0,1,1,stable
0.800000,-0.000039,0.882722,0.000000,0.005618,0,0.000017,1.471186,0.002658,1.356829,0.000000,0.100000,0.000000,1.471186,-0.106454,0,1,1,stable
0.900000,-0.000087,0.904370,0.000000,0.006488,0,0.000018,1.460813,0.003088,1.348769,0.000000,0.100000,0.000000,1.460813,-0.104026,0,1,1,stable
1,-0.000149,0.926469,0.000000,0.007385,0,0.000018,1.450272,0.003537,1.339942,0.000001,0.775426,0.000000,1.580770,-0.103729,0,10.491621,1,stable
1.100000,-0.000207,0.943205,0.000000,0.008302,0,0.000018,1.439426,0.004002,1.331227,0.000001,0.759004,0.000000,1.571561,-0.105416,0,14.851245,1,chronique
1.200000,-0.000232,0.952136,0.000000,0.009232,0,0.000018,1.428239,0.004480,1.323459,0.000001,0.672304,0.000000,1.571561,-0.108459,0,19.227267,1,stable
1.300000,-0.000192,0.953688,0.000000,0.010170,0,0.000018,1.416789,0.004970,1.317356,0.000001,0.590787,0.000000,1.571561,-0.111871,0,20.185306,1,stable
1.400000,-0.000087,0.949772,0.000000,0.011115,0,0.000018,1.405270,0.005470,1.313467,0.000003,0.425161,0.000000,1.571561,-0.114494,0,19.538673,1,stable
1.500000,-0.000004,0.942661,0.000000,0.012064,0,0.000017,1.393969,0.005981,1.312132,0.000005,0.304662,0.000000,1.571561,-0.115191,0,18.932185,1,stable
1.600000,-0.000073,0.934548,0.000000,0.013016,0,0.000017,1.388838,0.006503,1.313467,0.000004,0.315286,0.000000,1.561596,-0.113009,0,19.538673,1,stable
1.700000,-0.000332,0.927558,0.000000,0.013970,0,0.000017,1.389725,0.007034,1.317356,0.000012,0.414738,0.000000,1.561596,-0.051312,0,18.932185,1,stable
1.800000,-0.000630,0.923592,-0.000000,0.014926,0,0.000017,1.390413,0.007575,1.323459,0.000026,0.782361,0.000000,1.561596,0.008867,0,13.033160,1,stable
1.900000,-0.000658,0.923588,-0.000000,0.015882,0,0.000017,1.390369,0.008127,1.331227,0.000024,0.844063,0.000000,1.561596,0.006880,0,16.237907,1,stable
2,-0.000295,0.926469,-0.000000,0.016838,0,0.000018,1.389178,0.008688,1.339942,0.000039,0.719087,0.000000,1.561596,-0.000432,0,11.751360,1,stable
2.100000,-0.000003,0.928852,-0.000000,0.017794,0,0.000017,1.386569,0.009260,1.348769,0.000092,0.596050,0.000000,1.551098,-0.011912,0,8.988283,1,stable
2.200000,-0.000325,0.926365,-0.000000,0.018748,0,0.000018,1.382441,0.009840,1.356829,0.000071,0.587708,0.000000,1.551098,-0.026094,0,11.751360,1,stable
2.300000,-0.000956,0.916137,-0.000000,0.019699,0,0.000018,1.376877,0.010430,1.363293,0.000154,0.736525,0.000000,1.551098,-0.041279,0,8.988283,1,stable
2.400000,-0.001245,0.899078,0.000000,0.020644,0,0.000018,1.370138,0.011027,1.367475,0.000176,0.812775,0.000000,1.551098,-0.055640,0,11.963515,1,stable
2.500000,-0.001007,0.880554,0.000000,0.021583,0,0.000017,1.362636,0.011631,1.368921,0.000164,0.754406,0.000000,1.551098,-0.067395,0,14.379456,1,stable
2.600000,-0.000456,0.868472,0.000000,0.022512,0,0.000017,1.360699,0.012241,1.367475,0.000235,0.649329,0.000000,1.541288,-0.075018,0,14.330376,1,stable
2.700000,-0.000136,0.869010,0.000000,0.023429,0,0.000017,1.364306,0.012855,1.363293,0.000259,0.591043,0.000000,1.541288,-0.019364,0,14.281630,1,stable
2.800000,-0.000072,0.882722,0.000000,0.024329,0,0.000017,1.367041,0.013471,1.356829,0.000240,0.580690,0.000000,1.541288,0.036062,0,11.154943,1,stable
2.900000,-0.000211,0.904370,0.000000,0.025207,0,0.000017,1.368387,0.014086,1.348769,0.000249,0.592438,0.000000,1.541288,0.027352,0,14.281630,1,stable
3,-0.000756,0.926469,-0.000000,0.026058,0,0.000017,1.367967,0.014695,1.339942,0.000254,0.589523,0.000000,1.541288,0.013460,0,11.154943,1,stable
3.100000,-0.001376,0.943205,-0.000000,0.026875,0,0.000017,1.365573,0.015296,1.331227,0.000287,0.627255,0.000000,1.532759,-0.004195,0,9.151417,1,stable
3.200000,-0.001899,0.952136,-0.000000,0.027647,0,0.000017,1.361164,0.015882,1.323459,0.000275,0.666326,0.000000,1.532759,-0.023940,0,9.670013,1,stable
3.300000,-0.002315,0.953688,-0.000000,0.028363,0,0.000018,1.354846,0.016445,1.317356,0.000267,0.720638,0.000000,1.532759,-0.044094,0,12.778463,1,stable
