t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.926469,0,0.001002,0,0.000019,0,0.000457,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000,0.100000,0.000457,1.339942
0.100000,0.000546,0.928852,0,0.001655,0,0.000017,0.436556,0.000765,1.348769,0,0.100000,0.469099,0.436556,0,0,1,1,stable,0.469099,0.000000,0.000000,0.120927,0.000765,1.348769
0.200000,0.001355,0.926365,-0.000000,0.002564,0,0.000017,0.407952,0.001211,1.356829,0,0.100000,0.445644,0.407952,4.365561,0,1,1,stable,0.445644,0.000000,0.000000,0.141753,0.001211,1.356829
0.300000,0.001901,0.916137,-0.000000,0.003763,0,0.000016,0.384801,0.001829,1.363293,0,0.100000,0.423362,0.384801,-0.286041,0,1,1,stable,0.423362,0.000000,0.000000,0.162379,0.001829,1.363293
0.400000,0.001494,0.899078,-0.000000,0.005274,0,0.000016,0.367420,0.002660,1.367475,0.000107,0.100000,0.402194,0.367420,-0.231513,0,1,1,stable,0.402194,0.000000,0.000000,0.182707,0.002660,1.367475
0.500000,0.000231,0.880554,-0.000000,0.007113,0,0.000020,0.356097,0.003750,1.368921,0.000758,0.100000,0.382084,0.356097,-0.173804,0,1,1,stable,0.382084,0.000000,0.000000,0.202643,0.003750,1.368921
0.600000,-0.000556,0.868472,-0.000000,0.009291,0,0.000018,0.356935,0.005154,1.367475,0.001116,0.100000,0.362980,0.356935,-0.113228,0,1,1,stable,0.362980,-0.000000,0.000000,0.222096,0.005154,1.367475
0.700000,-0.000539,0.869010,-0.000000,0.011825,0,0.000018,0.369650,0.006934,1.363293,0.001216,0.100000,0.344831,0.369650,0.008375,0,1,1,stable,0.344831,-0.000000,0.000000,0.240981,0.006934,1.363293
0.800000,-0.001952,0.882722,0.000000,0.014739,0,0.000018,0.387569,0.009163,1.356829,0.001823,0.100000,0.327589,0.387569,0.127153,0,1,1,stable,0.327589,-0.000000,0.000000,0.259218,0.009163,1.356829
0.900000,-0.006377,0.904370,0.000000,0.018066,0,0.000018,0.409916,0.011918,1.348769,0.001412,0.100000,0.311210,0.409916,0.179188,0,1,1,stable,0.311210,-0.000000,0.000000,0.276734,0.011918,1.348769
1,-0.011236,0.926469,0.000000,0.021850,0,0.000018,0.436040,0.015282,1.339942,0.005199,0.663734,0.295649,0.423236,0.223466,0,6.673375,1,stable,0.295649,-0.000000,0.000000,0.293459,0.015282,1.339942
1.100000,-0.010856,0.943205,0.000000,0.026140,3,0.000018,0.465426,0.019334,1.331227,0.004399,0.686425,0.280867,0.427504,0.261244,0,8.289205,1,stable,0.280867,-0.000000,0.000000,0.309334,0.019334,1.331227
1.200000,-0.006372,0.952136,0.000000,0.030988,3,0.000016,0.497710,0.024141,1.323459,0.016429,0.501227,0.266823,0.446007,0.293859,0,7.887638,1,stable,0.266823,-0.000000,0.000000,0.324303,0.024141,1.323459
